Jenjang	Sekolah	Kecematan	< 7	7-12	> 12	< 13	13-15	>15	<16	16-18	>18	
SD	SD NEGERI 138 BASOKENG	Kec. Bontotiro	5	61	0	-	-	-	-	-	-	
SD	SD NEGERI NO 279 TALLE-TALLE	Kec. Rilau Ale	5	132	5	-	-	-	-	-	-	
SD	SD NEGERI 264 BIRA	Kec. Bontobahari	0	62	0	-	-	-	-	-	-	
SD	SD NEGERI 351 KAWASAN	Kec. Kajang	10	144	1	-	-	-	-	-	-	
SD	SD NEGERI 74 TAMARELLANG	Kec. Bulukumpa	9	132	3	-	-	-	-	-	-	
SD	SD NEGERI 310 NANASAYA	Kec. Kajang	7	24	2	-	-	-	-	-	-	
SD	SD NEGERI 327 MATEKKO	Kec. Gantarang	16	129	5	-	-	-	-	-	-	
SD	SD NEGERI 67 LOISA	Kec. Bulukumpa	0	86	3	-	-	-	-	-	-	
SD	SD NEGERI 30 GATTARANG	Kec. Gantarang	6	93	6	-	-	-	-	-	-	
SD	SD NEGERI 185 BIALO	Kec. Gantarang	5	121	1	-	-	-	-	-	-	
SD	SD NEGERI 180 BENTENGE	Kec. Ujung Bulu	13	136	1	-	-	-	-	-	-	
SD	SD NEGERI 147 MATTOANGING 2	Kec. Bontotiro	1	40	3	-	-	-	-	-	-	
SD	SD NEGERI 178 TULEKKO	Kec. Bontotiro	4	106	5	-	-	-	-	-	-	
SD	SD NEGERI 60 TANETE	Kec. Bulukumpa	23	157	1	-	-	-	-	-	-	
SD	SD NEGERI 342 PAOREMBAYA	Kec. Herlang	0	161	18	-	-	-	-	-	-	
SD	SD NEGERI 324 TAKKUE	Kec. Ujung Loe	8	135	9	-	-	-	-	-	-	
SD	SD NEGERI 301 KALUKU	Kec. Kindang	14	135	1	-	-	-	-	-	-	
SD	SD NEGERI 122 BATUPANYU	Kec. Herlang	0	57	4	-	-	-	-	-	-	
SD	SD NEGERI 251 GANTA	Kec. Kajang	15	106	3	-	-	-	-	-	-	
SD	SD NEGERI 257 BADDOA	Kec. Herlang	13	110	1	-	-	-	-	-	-	
SD	SD NEGERI 81 PALAMPANG	Kec. Rilau Ale	11	139	1	-	-	-	-	-	-	
SD	SD NEGERI 186 MATTIROWALIE	Kec. Kindang	7	144	4	-	-	-	-	-	-	
SD	SD NEGERI 200 DANNUANG	Kec. Ujung Loe	6	134	1	-	-	-	-	-	-	
SD	SD NEGERI 199 TANAH KONGKONG	Kec. Ujung Bulu	0	143	9	-	-	-	-	-	-	
SD	SD NEGERI 201 GARANTA	Kec. Ujung Loe	0	87	6	-	-	-	-	-	-	
