Jenjang,Sekolah,Laki-laki,Perempuan
SD,SD NEGERI 120 BAJANG,59,82
SD,SD NEGERI 233 DAMPANG,72,71
SD,SD NEGERI 72 BAMBAUNGANG,30,22
SD,SD NEGERI 22 ALLU,97,91
SD,SDN 353 ULUPARANG,72,66
SD,SD NEGERI 87 BUTTAKEKE,96,98
SD,SD NEGERI 313 PAPINJENG,34,50
SD,SD NEGERI 88 BATUKAROPA,63,70
SD,SD NEGERI 190 TANAH JAYA,35,24
SD,SD NEGERI 149 TAMALALA,52,54
SD,SD NEGERI 345 SAMAKORE,43,25
SD,SD NEGERI 161 ARA,63,51
SD,SD NEGERI 210 BONTOMINASA,87,82
SD,SD NEGERI 91 MUNTE,48,40
SD,SD NEGERI 64 BALANGBESSI,43,46
SD,SD NEGERI 255 PARANGLOHE,37,29
SD,SD NEGERI 116 USA,56,40
SD,SD NEGERI 267 DAULELE,57,48
SD,SD NEGERI .172 BORONGKALUKUE,162,123
SD,SD NEGERI 256 KAJANG,34,25
SD,SD NEGERI 162 ARA,60,48
SD,SD NEGERI 153 TOMBOLO,47,45
SD,SD NEGERI 100 CENTRE KAJANG,132,124
SD,SD NEGERI 181 TANAHKONGKONG,111,118
SD,SD NEGERI 118 LEMBANG TUMBU,52,48
SD,SD NEGERI 103 KALIMPORO,88,88
SD,SD NEGERI 260 EREKEKE,19,24
SD,SD NEGERI 276 CAMPULEA,67,64
SD,SD NEGERI 228 GATTARENG,64,41
SD,SD NEGERI 143 PARA,55,53
SD,SD NEGERI 315 KAROSI,67,59
SD,SD NEGERI 329 PALAMBARAE,118,113
SD,SD NEGERI 53 PABBAMBAENG.,105,96
SD,SD NEGERI 300 BONTO TANAE,88,45
SD,SD NEGERI 95 BONTOBULAENG,39,34
SD,SD NEGERI 20 MANYAMPA,53,56
SD,SD NEGERI 179 TANAH BERU,141,139
SD,SD NEGERI 104 JANNAYA,66,61
SD,SD NEGERI 219 ARA,33,25
SD,SD NEGERI 13 SALEMBA,77,98
SD,SD NEGERI 306 MARANA,27,14
SD,SD NEGERI 236 KINDANG,38,47
SD,SD NEGERI 134 KALUMPANG,35,27
SD,SD NEGERI 283 GANTING,79,76
SD,SD NEGERI 128 TURUNGAN BERU,111,103
SD,SD NEGERI 295 BALONG,76,60
SD,SD NEGERI 138 BASOKENG,31,38
SD,SD NEGERI 264 BIRA,34,41
SD,SD NEGERI 351 KAWASAN,78,80
SD,SD NEGERI 74 TAMARELLANG,79,72
SD,SD NEGERI 310 NANASAYA,22,10
SD,SD NEGERI 327 MATEKKO,71,78
SD,SD NEGERI 67 LOISA,41,48
SD,SD NEGERI 30 GATTARANG,65,51
SD,SD NEGERI 185 BIALO,58,63
SD,SD NEGERI 180 BENTENGE,73,76
SD,SD NEGERI 147 MATTOANGING 2,24,26
SD,SD NEGERI 178 TULEKKO,81,50
SD,SD NEGERI 60 TANETE,97,92
SD,SD NEGERI 342 PAOREMBAYA,97,82
SD,SD NEGERI 324 TAKKUE,79,75
SD,SD NEGERI 301 KALUKU,83,65
SD,SD NEGERI 122 BATUPANYU,31,30
SD,SD NEGERI 251 GANTA,66,64
SD,SD NEGERI 257 BADDOA,60,68
SD,SD NEGERI 81 PALAMPANG,85,65
SD,SD NEGERI 186 MATTIROWALIE,97,75
SD,SD NEGERI 200 DANNUANG,72,83
SD,SD NEGERI 199 TANAH KONGKONG,78,74
SD,SD NEGERI 201 GARANTA,51,42
SD,SD NEGERI 25 LONRONG,28,25
SD,SD NEGERI 58 TANETE,101,97
SD,SD NEGERI 282 TUBOGA,58,58
SD,SD NEGERI 173 MATEKKO,126,140
SD,SD NEGERI 325 JATIA,62,62
SD,SD NEGERI 63 CILALLANG,112,78
SD,SD NEGERI 216 LEMBANNA,32,30
SD,SD NEGERI 4 BENTENGE,55,53
SD,SD NEGERI 52 GARUNTUNGAN.,34,46
SD,SD NEGERI 250 KOLI,60,43
SD,SDN 1 TERANG,86,87
SD,SD NEGERI 246 BONTOMANAI,93,74
SD,SD NEGERI 253 TANUNTUNG,12,27
SD,SD NEGERI 321 ARA,34,10
SD,SD NEGERI 42 GATTARENG,49,50
SD,SD NEGERI . 280 BONTOMINASA,36,39
SD,SD NEGERI 18 PALANGISANG,77,79
SD,SDN 277 PANGI,47,44
SD,SD NEGERI 135 ERELEBU,34,45
SD,SD NEGERI 73 KASESENG,35,40
SD,SD NEGERI 109 KAJANG KEKE,53,63
SD,SD NEGERI 127 BONTOA,41,38
SD,SD NEGERI 266 TOROLIYA,31,29
SD,SD NEGERI 215 DASSA,141,106
SD,SD NEGERI 211 PALAMPANG,84,54
SD,SDN NEGERI 328 GATTARENG,45,55
SD,SD NEGERI 284 TANAH JAYA,23,10
SD,SD NEGERI 123 PATARO,33,29
SD,SD NEGERI 51 PARANGSILIBBO.,82,75
