Jenjang,Sekolah,Kecematan,< 16,16 - 18,>18
SD,SD NEGERI 21 SEPPANG,Kec. Ujung Loe,0,171,16
SD,SD NEGERI 90 GANJENGE,Kec. Rilau Ale,0,234,12
SD,SD NEGERI 287 DOMENGA,Kec. Herlang,0,62,5
SD,SD NEGERI 27 MATEKKO,Kec. Gantarang,2,179,23
SD,SD NEGERI 182 DANNUANG,Kec. Ujung Loe,1,306,25
SD,SD NEGERI 206 BONTONYELENG,Kec. Gantarang,1,204,11
SD,SD NEGERI 187 BONTOMANAI,Kec. Rilau Ale,0,203,19
SD,SD NEGERI 226 BALLEANGING,Kec. Ujung Loe,0,84,9
SD,SD NEGERI 145 TUJU,Kec. Bontotiro,0,38,1
SD,SD NEGERI 247 PATTOENGAN,Kec. Bulukumpa,3,72,8
SD,SD NEGERI 297 MATEKKO,Kec. Gantarang,0,122,17
SD,SD NEGERI 222 DANNUANG,Kec. Ujung Loe,0,215,15
SD,SD NEGERI NO. 98 BONTOMANAI,Kec. Rilau Ale,0,279,19
SD,SD NEGERI 311 LURAYA,Kec. Kajang,8,116,16
SD,SD NEGERI 94 BALIMBING,Kec. Rilau Ale,0,143,14
SD,SD NEGERI 293 TANAHKONGKONG,Kec. Ujung Bulu,0,136,13
SD,SD NEGERI 26 MATEKKO,Kec. Gantarang,0,300,33
SD,SD NEGERI 281 SUMALAYA,Kec. Kajang,2,184,22
SD,SD NEGERI 290 TAHEBATU,Kec. Bontotiro,0,53,7
SD,SD NEGERI 227 BONTOMACINNA,Kec. Gantarang,0,173,25
SD,SD NEGERI 113 DANGGAREHANG,Kec. Kajang,0,61,3
SD,SD NEGERI 158 BENJALA,Kec. Bontobahari,0,106,13
SD,SD NEGERI 196 TRITIRO,Kec. Bontotiro,0,65,2
SD,SD NEGERI 65 BALANGRIRI,Kec. Bulukumpa,1,162,3
SD,SD NEGERI 346 TIMBULA,Kec. Bontotiro,1,26,2
SD,SD NEGERI 319 LOKAJAHA,Kec. Bontotiro,0,76,6
SD,SD NEGERI 9 TANAH KONGKONG,Kec. Ujung Bulu,0,210,26
SD,SD NEGERI 19 MANYAMPA,Kec. Ujung Loe,1,145,10
SD,SD NEGERI 244 SALASSAE,Kec. Bulukumpa,0,94,7
SD,SD NEGERI 254 BANYORO,Kec. Herlang,1,66,9
SD,SD NEGERI 263 TANAH LEMO,Kec. Bontobahari,0,130,13
SD,SD NEGERI 157 PASARAYA,Kec. Bontobahari,0,156,19
SD,SD NEGERI 130 BONTOBEANG,Kec. Herlang,0,99,1
SD,SD NEGERI 320 MARAKKIUNG,Kec. Bontotiro,0,40,2
SD,SD NEGERI 191 LEMBANNA,Kec. Kajang,1,61,5
SD,SD NEGERI NO 6 KASUARA,Kec. Ujung Bulu,0,201,26
SD,SD NEGERI 312 SAPAYA,Kec. Kajang,0,144,26
SD,SD NEGERI 131 BONTO BANA,Kec. Herlang,0,90,10
SD,SD NEGERI 86 LONGI,Kec. Rilau Ale,0,97,8
SD,SD NEGERI 45 DAMPANG,Kec. Gantarang,0,134,8
SD,SD NEGERI 120 BAJANG,Kec. Herlang,3,125,13
SD,SD NEGERI 233 DAMPANG,Kec. Gantarang,0,131,12
SD,SD NEGERI 72 BAMBAUNGANG,Kec. Bulukumpa,0,50,2
SD,SD NEGERI 22 ALLU,Kec. Ujung Loe,0,180,8
SD,SDN 353 ULUPARANG,Kec. Kindang,0,131,7
SD,SD NEGERI 87 BUTTAKEKE,Kec. Rilau Ale,0,181,13
SD,SD NEGERI 313 PAPINJENG,Kec. Kajang,1,80,3
SD,SD NEGERI 88 BATUKAROPA,Kec. Rilau Ale,0,124,9
SD,SD NEGERI 190 TANAH JAYA,Kec. Kajang,1,48,10
SD,SD NEGERI 149 TAMALALA,Kec. Bontotiro,0,89,17
SD,SD NEGERI 345 SAMAKORE,Kec. Bontotiro,0,52,16
SD,SD NEGERI 161 ARA,Kec. Bontobahari,0,110,4
SD,SD NEGERI 210 BONTOMINASA,Kec. Bulukumpa,1,163,5
SD,SD NEGERI 91 MUNTE,Kec. Bulukumpa,0,86,2
SD,SD NEGERI 64 BALANGBESSI,Kec. Bulukumpa,0,83,6
SD,SD NEGERI 255 PARANGLOHE,Kec. Herlang,0,63,3
SD,SD NEGERI 116 USA,Kec. Kajang,1,85,10
SD,SD NEGERI 267 DAULELE,Kec. Kajang,0,96,9
SD,SD NEGERI .172 BORONGKALUKUE,Kec. Ujung Bulu,0,268,17
SD,SD NEGERI 256 KAJANG,Kec. Herlang,0,55,4
SD,SD NEGERI 162 ARA,Kec. Bontobahari,0,96,12
SD,SD NEGERI 153 TOMBOLO,Kec. Bontotiro,0,79,13
SD,SD NEGERI 100 CENTRE KAJANG,Kec. Kajang,1,240,15
SD,SD NEGERI 181 TANAHKONGKONG,Kec. Ujung Bulu,0,208,21
SD,SD NEGERI 118 LEMBANG TUMBU,Kec. Herlang,0,94,6
SD,SD NEGERI 103 KALIMPORO,Kec. Kajang,0,171,5
SD,SD NEGERI 260 EREKEKE,Kec. Bontotiro,0,42,1
SD,SD NEGERI 276 CAMPULEA,Kec. Rilau Ale,0,128,3
SD,SD NEGERI 228 GATTARENG,Kec. Gantarang,0,89,16
SD,SD NEGERI 143 PARA,Kec. Bontotiro,0,97,11
SD,SD NEGERI 315 KAROSI,Kec. Herlang,0,119,7
SD,SD NEGERI 329 PALAMBARAE,Kec. Gantarang,0,211,20
SD,SD NEGERI 53 PABBAMBAENG.,Kec. Kindang,0,180,21
SD,SD NEGERI 300 BONTO TANAE,Kec. Gantarang,0,120,13
SD,SD NEGERI 95 BONTOBULAENG,Kec. Bulukumpa,0,70,3
SD,SD NEGERI 20 MANYAMPA,Kec. Ujung Loe,1,100,8
SD,SD NEGERI 179 TANAH BERU,Kec. Bontobahari,0,252,28
SD,SD NEGERI 104 JANNAYA,Kec. Kajang,1,122,4
SD,SD NEGERI 219 ARA,Kec. Bontobahari,0,56,2
SD,SD NEGERI 13 SALEMBA,Kec. Ujung Loe,0,155,20
SD,SD NEGERI 306 MARANA,Kec. Rilau Ale,0,40,1
SD,SD NEGERI 236 KINDANG,Kec. Kindang,0,83,2
SD,SD NEGERI 134 KALUMPANG,Kec. Bontotiro,1,54,7
SD,SD NEGERI 283 GANTING,Kec. Kajang,2,137,16
SD,SD NEGERI 128 TURUNGAN BERU,Kec. Herlang,0,197,17
SD,SD NEGERI 295 BALONG,Kec. Ujung Loe,0,121,15
SD,SD NEGERI 138 BASOKENG,Kec. Bontotiro,0,61,8
SD,SD NEGERI 264 BIRA,Kec. Bontobahari,0,73,2
SD,SD NEGERI 351 KAWASAN,Kec. Kajang,2,151,5
SD,SD NEGERI 74 TAMARELLANG,Kec. Bulukumpa,0,139,12
SD,SD NEGERI 310 NANASAYA,Kec. Kajang,3,27,2
SD,SD NEGERI 327 MATEKKO,Kec. Gantarang,0,136,13
SD,SD NEGERI 67 LOISA,Kec. Bulukumpa,0,86,3
SD,SD NEGERI 30 GATTARANG,Kec. Gantarang,0,105,11
SD,SD NEGERI 185 BIALO,Kec. Gantarang,0,115,6
SD,SD NEGERI 180 BENTENGE,Kec. Ujung Bulu,0,139,10
SD,SD NEGERI 147 MATTOANGING 2,Kec. Bontotiro,0,44,6
SD,SD NEGERI 178 TULEKKO,Kec. Bontotiro,1,120,10
SD,SD NEGERI 60 TANETE,Kec. Bulukumpa,0,179,10
SD,SD NEGERI 342 PAOREMBAYA,Kec. Herlang,0,161,18
SD,SD NEGERI 324 TAKKUE,Kec. Ujung Loe,0,137,17
SD,SD NEGERI 301 KALUKU,Kec. Kindang,0,137,11
SD,SD NEGERI 122 BATUPANYU,Kec. Herlang,0,57,4
SD,SD NEGERI 251 GANTA,Kec. Kajang,3,116,11
SD,SD NEGERI 257 BADDOA,Kec. Herlang,2,118,8
SD,SD NEGERI 81 PALAMPANG,Kec. Rilau Ale,0,142,8
SD,SD NEGERI 186 MATTIROWALIE,Kec. Kindang,0,156,16
SD,SD NEGERI 200 DANNUANG,Kec. Ujung Loe,0,144,11
SD,SD NEGERI 199 TANAH KONGKONG,Kec. Ujung Bulu,0,143,9
SD,SD NEGERI 201 GARANTA,Kec. Ujung Loe,0,87,6
SD,SD NEGERI 25 LONRONG,Kec. Ujung Loe,0,49,4
SD,SD NEGERI 58 TANETE,Kec. Bulukumpa,0,185,13
SD,SD NEGERI 282 TUBOGA,Kec. Kajang,4,102,10
SD,SD NEGERI 173 MATEKKO,Kec. Gantarang,2,241,23
SD,SD NEGERI 325 JATIA,Kec. Ujung Loe,0,110,14
SD,SD NEGERI 63 CILALLANG,Kec. Bulukumpa,0,174,16
SD,SD NEGERI 216 LEMBANNA,Kec. Kajang,3,57,2
SD,SD NEGERI 4 BENTENGE,Kec. Ujung Bulu,0,94,14
SD,SD NEGERI 52 GARUNTUNGAN.,Kec. Kindang,0,79,1
SD,SD NEGERI 250 KOLI,Kec. Kajang,0,85,18
SD,SDN 1 TERANG,Kec. Ujung Bulu,0,162,11
SD,SD NEGERI 246 BONTOMANAI,Kec. Rilau Ale,0,151,16
SD,SD NEGERI 253 TANUNTUNG,Kec. Herlang,1,32,6
SD,SD NEGERI 321 ARA,Kec. Bontobahari,0,41,3
SD,SD NEGERI 42 GATTARENG,Kec. Gantarang,1,95,3
SD,SD NEGERI . 280 BONTOMINASA,Kec. Bulukumpa,1,67,7
SD,SD NEGERI 18 PALANGISANG,Kec. Ujung Loe,0,144,12
SD,SDN 277 PANGI,Kec. Rilau Ale,0,88,3
SD,SD NEGERI 135 ERELEBU,Kec. Bontotiro,0,74,5
SD,SD NEGERI 73 KASESENG,Kec. Bulukumpa,0,73,2
SD,SD NEGERI 109 KAJANG KEKE,Kec. Kajang,1,100,15
SD,SD NEGERI 127 BONTOA,Kec. Herlang,0,69,10
SD,SD NEGERI 266 TOROLIYA,Kec. Gantarang,0,53,7
SD,SD NEGERI 215 DASSA,Kec. Kajang,2,217,28
SD,SD NEGERI 211 PALAMPANG,Kec. Rilau Ale,0,127,11
SD,SDN NEGERI 328 GATTARENG,Kec. Gantarang,0,94,6
SD,SD NEGERI 284 TANAH JAYA,Kec. Kajang,3,28,2
SD,SD NEGERI 123 PATARO,Kec. Herlang,0,60,2
SD,SD NEGERI 51 PARANGSILIBBO.,Kec. Kindang,0,148,9
SD,SD NEGERI 97 SAMPEANG,Kec. Rilau Ale,0,207,14
SD,SD NEGERI 24 SALEMBA,Kec. Ujung Bulu,3,492,30
SD,SD NEGERI 245 BATUTOMPO,Kec. Rilau Ale,0,171,30
SD,SD NEGERI 137 CARAMMING,Kec. Bontotiro,1,107,8
SD,SD NEGERI 141 SALU,Kec. Bontotiro,0,72,2
SD,SD NEGERI 50 PALIOI,Kec. Kindang,0,133,1
SD,SD NEGERI 176 TAMBANGAN,Kec. Kajang,0,71,6
SD,SD NEGERI 352 NANA,Kec. Kindang,0,52,5
SD,SD NEGERI 148 BONTOBULAENG,Kec. Bontotiro,0,52,8
SD,SD NEGERI 288 LIANG,Kec. Herlang,12,82,12
SD,SD NEGERI 294 PADANGLOANG,Kec. Ujung Loe,1,150,20
SD,SD NEGERI 262 TANAH LEMO,Kec. Bontobahari,0,120,7
SD,SD NEGERI 150 UPASAYA,Kec. Bontotiro,0,88,6
SD,SD NEGERI 326 BAMPANG,Kec. Ujung Loe,1,93,5
SD,SD NEGERI 124 BATUASANG,Kec. Herlang,0,90,5
SD,SD NEGERI 202 BALLEANGING,Kec. Ujung Loe,0,114,16
SD,SD NEGERI 33 BARABBA,Kec. Gantarang,0,100,6
SD,SD NEGERI 249 DALOBA,Kec. Kajang,3,157,8
SD,SD NEGERI 167 KASUSO,Kec. Bontobahari,0,106,5
SD,SD NEGERI 164 ARA,Kec. Bontobahari,0,27,1
SD,SD NEGERI 56 BALANGDIDI,Kec. Kindang,0,113,5
SD,SD NEGERI 105 SANGKALA,Kec. Kajang,1,251,17
SD,SD NEGERI 171 LOKA,Kec. Ujung Bulu,0,356,30
SD,SD NEGERI 41 MATEKKO,Kec. Gantarang,0,346,53
SD,SD NEGERI 31 BONTOMACINNA,Kec. Gantarang,0,346,28
SD,SD NEGERI 57 ORO,Kec. Kindang,0,113,8
SD,SD NEGERI 296 TAMATTO,Kec. Ujung Loe,0,44,7
SD,SD NEGERI TERPENCIL 350 KAHAYA,Kec. Kindang,0,93,34
SD,SD NEGERI 15 MANJALLING,Kec. Ujung Loe,0,122,26
SD,SDN 337 MALLOMBONG,Kec. Kajang,0,115,10
SD,SD NEGERI 265 BINTARORE,Kec. Ujung Bulu,0,148,15
SD,SD NEGERI 151 TIMBULA,Kec. Bontotiro,0,121,17
SD,SD NEGERI 59 TANETE,Kec. Bulukumpa,0,145,6
SD,SD NEGERI 252 SAPIRI,Kec. Kajang,0,90,7
SD,SD NEGERI 62 WAEPEJJE,Kec. Bulukumpa,0,116,7
SD,SD NEGERI 223 GARANTA,Kec. Ujung Loe,0,195,19
SD,SD NEGERI 270 DANNUANG,Kec. Ujung Loe,0,136,19
SD,SD NEGERI 129 BONTOSUKA,Kec. Herlang,0,70,13
SD,SD NEGERI 2 TERANG,Kec. Ujung Bulu,0,538,19
SD,SD NEGERI 165 BIRA,Kec. Bontobahari,0,90,6
SD,SD NEGERI 343 TUGONDENG,Kec. Herlang,0,63,6
SD,SD NEGERI 213 HULO,Kec. Bulukumpa,0,96,9
SD,SD NEGERI 70 BULO,Kec. Bulukumpa,0,104,6
SD,SD NEGERI 286 MALLOMBONG,Kec. Herlang,0,82,7
SD,SD NEGERI 35 BONTO SUNGGU,Kec. Gantarang,0,106,14
SD,SD NEGERI 198 BIRA,Kec. Bontobahari,1,127,21
SD,SD NEGERI 242 GALUNG BODDONG,Kec. Rilau Ale,0,136,11
SD,SD NEGERI 192 TANAHTOWA,Kec. Kajang,3,240,31
SD,SD NEGERI 194 MACINNA,Kec. Herlang,1,115,12
SD,SD NEGERI 212 BONTOBANGUN,Kec. Rilau Ale,0,135,14
SD,SD NEGERI 188 BONTO BULAENG,Kec. Bulukumpa,2,125,6
SD,SD NEGERI 302 LATTAE,Kec. Kindang,0,94,4
SD,SD NEGERI 110 BUNJA,Kec. Kajang,2,110,18
SD,SD NEGERI 184 PALAMBARAE,Kec. Gantarang,0,194,25
SD,SD NEGERI 175 BULO,Kec. Bulukumpa,0,155,7
SD,SD NEGERI 10 ELA,Kec. Ujung Bulu,0,180,12
SD,SD ISLAM TERPADU WAHDAH ISLAMIYAH BULUKUMBA,Kec. Ujung Bulu,0,205,9
SD,SD NEGERI 169 TOKALA,Kec. Bontobahari,0,76,11
SD,SD NEGERI 238 MATTOANGING,Kec. Bulukumpa,0,57,4
SD,SD NEGERI 331 BORONG TELLU,Kec. Gantarang,1,111,17
SD,SD NEGERI 48 GANTING.,Kec. Kindang,0,95,12
SD,SD NEGERI 139 LAMANDA,Kec. Bontotiro,1,104,7
