Jenjang,Sekolah,Kecematan,1,2,3,4,5,6,7,8,9,10,11,12,13
SMP,SMP MUHAMMADIYAH BULUKUMBA,Kec. Ujung Bulu,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP NEGERI 17 BULUKUMBA,Kec. Bulukumpa,-,-,-,-,-,-,4,4,4,-,-,-,-
SMP,SMP NEGERI 44 BULUKUMBA,Kec. Bulukumpa,-,-,-,-,-,-,3,2,2,-,-,-,-
SMP,SMP NEGERI 37 BULUKUMBA,Kec. Kindang,-,-,-,-,-,-,3,3,3,-,-,-,-
SMP,SMP NEGERI 2 BULUKUMBA,Kec. Ujung Bulu,-,-,-,-,-,-,8,8,9,-,-,-,-
SMP,SMP NEGERI 48 BULUKUMBA,Kec. Gantarang,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP AL GAZALI,Kec. Ujung Bulu,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP NEGERI 47 BULUKUMBA,Kec. Bulukumpa,-,-,-,-,-,-,1,1,2,-,-,-,-
SMP,SMP NEGERI 1 BULUKUMBA,Kec. Ujung Bulu,-,-,-,-,-,-,11,12,12,-,-,-,-
SMP,SMP NEGERI SATAP 8 BULUKUMBA,Kec. Ujung Loe,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP NEGERI 29 BULUKUMBA,Kec. Bontotiro,-,-,-,-,-,-,4,4,4,-,-,-,-
SMP,SMP NEGERI 31 BULUKUMBA,Kec. Bontotiro,-,-,-,-,-,-,3,3,3,-,-,-,-
SMP,SMP NEGERI 34 BULUKUMBA,Kec. Bontobahari,-,-,-,-,-,-,4,4,4,-,-,-,-
SMP,SMP NEGERI 18 BULUKUMBA ,Kec. Bulukumpa,-,-,-,-,-,-,2,3,3,-,-,-,-
SMP,SMP NEGERI 33 BULUKUMBA,Kec. Bontobahari,-,-,-,-,-,-,4,4,4,-,-,-,-
SMP,SMP NEGERI 6 BULUKUMBA,Kec. Gantarang,-,-,-,-,-,-,2,3,3,-,-,-,-
SMP,SMPN SATAP 18 BULUKUMBA,Kec. Bulukumpa,-,-,-,-,-,-,2,2,1,-,-,-,-
SMP,SMP NEGERI 30 BULUKUMBA,Kec. Bontotiro,-,-,-,-,-,-,5,6,4,-,-,-,-
SMP,SMP NEGERI SATAP 1 BULUKUMBA,Kec. Herlang,-,-,-,-,-,-,2,1,2,-,-,-,-
SMP,SMP NEGERI 22 BULUKUMBA,Kec. Kajang,-,-,-,-,-,-,2,2,2,-,-,-,-
SMP,SMP NEGERI SATAP 10 BULUKUMBA ,Kec. Kindang,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP NEGERI 38 BULUKUMBA,Kec. Kindang,-,-,-,-,-,-,1,2,2,-,-,-,-
SMP,SMP PGRI BULUKUMBA,Kec. Ujung Bulu,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP NEGERI 42 BULUKUMBA,Kec. Rilau Ale,-,-,-,-,-,-,2,2,2,-,-,-,-
SD,SDN 7 MATAJANG,Kec. Ujung Bulu,2,3,2,2,2,2,-,-,-,-,-,-,-
SD,SD NEGERI 274 BONTOSUNGGU,Kec. Gantarang,1,1,1,1,1,1,-,-,-,-,-,-,-
