sekolah,laki-laki,perempuan
SD NEGERI 285 DASSA,51,51
SD NEGERI 286 MALLOMBONG,42,47
SD NEGERI 287 DOMENGA,33,34
SD NEGERI 288 LIANG-LIANG,58,48
SD NEGERI 289 TALUMAYA,32,29
SD NEGERI 29 BONTOMACINNA,94,87
SD NEGERI 290 TAHEBATU,30,30
SD NEGERI 291 LOBI,33,31
SD NEGERI 292 BIRA,23,22
SD NEGERI 293 TANAHKONGKONG,73,76
SD NEGERI 294 PADANGLOANG,84,87
SD NEGERI 295 BALONG,76,60
SD NEGERI 296 TAMATTO,30,21
SD NEGERI 297 MATEKKO,70,69
SD NEGERI 298 CABALU,44,59
SD NEGERI 299 BONTO MACINNA,65,52
SD NEGERI 3 KASIMPURENG,273,260
SD NEGERI 30 GATTARANG,65,51
SD NEGERI 300 BONTO TANAE,88,45
SD NEGERI 301 KALUKU,83,65
SD NEGERI 302 LATTAE,57,41
SD NEGERI 303 PALIPUNGANG,28,39
SD NEGERI 304 BATUHULANG,47,41
SD NEGERI 305 TA GENTUNG,29,26
SD NEGERI 306 MARANA,28,14
SD NEGERI 308 BUNGAYA,26,15
SD NEGERI 309 DUMPU,45,46
SD NEGERI 31 BONTOMACINNA,164,211
SD NEGERI 310 NANASAYA,22,10
SD NEGERI 311 LURAYA,74,66
SD NEGERI 312 SAPAYA,91,79
SD NEGERI 313 PAPINJENG,34,50
SD NEGERI 314 MARANA,34,38
SD NEGERI 315 KAROSI,67,59
SD NEGERI 316 LASSANRU,64,57
SD NEGERI 317 BORONG,15,23
SD NEGERI 318 KARRINGA,33,37
SD NEGERI 319 LOKAJAHA,50,32
SD NEGERI 32 BARABBA,67,77
SD NEGERI 320 MARAKKIUNG,19,23
SD NEGERI 321 ARA,34,10
SD NEGERI 322 ELA-ELA,69,57
SD NEGERI 323 TOKOMBENG,70,60
SD NEGERI 324 TAKKUE,79,75
SD NEGERI 325 JATIA,62,62
SD NEGERI 326 BAMPANG,52,47
SD NEGERI 327 MATEKKO,71,78
SD NEGERI 329 PALAMBARAE,118,113
SD NEGERI 33 BARABBA,61,45
SD NEGERI 330 RAOE,43,41
SD NEGERI 331 BORONG TELLU,71,58
SD NEGERI 332 PULONGGO,15,18
SD NEGERI 333 TIBONA,32,50
SD NEGERI 334 BINUANG,30,17
SD NEGERI 335 KACIBO,49,28
SD NEGERI 338 JAMPANG,77,58
SD NEGERI 339 DUMPU,53,43
SD NEGERI 34 BIALO,63,44
SD NEGERI 341 BATU,29,28
SD NEGERI 342 PAOREMBAYA,97,82
SD NEGERI 343 TUGONDENG,43,26
SD NEGERI 344 ALORANG,46,31
SD NEGERI 345 SAMAKORE,43,25
SD NEGERI 346 TIMBULA,15,14
SD NEGERI 347 TABBINGSITOA,22,15
SD NEGERI 348 DOAJANG,82,100
SD NEGERI 349 MAMPUA,24,30
SD NEGERI 35 BONTO SUNGGU,59,61
SD NEGERI 351 KAWASAN,78,80
SD NEGERI 352 NANA,33,39
SD NEGERI 36 BONTOSUNGGU,42,51
SD NEGERI 37 PALAMBARAE,147,121
SD NEGERI 38 GATTARENG,107,109
SD NEGERI 39 BONTO NYELENG,103,109
SD NEGERI 4 BENTENGE,55,53
SD NEGERI 40 BONTO NYELENG,62,56
SD NEGERI 41 MATEKKO,198,202
SD NEGERI 42 GATTARENG,49,50
SD NEGERI 43 MATTIROWALIE.,99,96
SD NEGERI 44 DAMPANG,139,96
SD NEGERI 45 DAMPANG,69,73
SD NEGERI 46 MATTIROWALIE,77,73
SD NEGERI 47 ANRIHUA.,68,55
SD NEGERI 48 GANTING.,54,53
SD NEGERI 49 BORONGRAPPOA.,76,98
SD NEGERI 5 APPASARENGE (SD NEGERI 5 APPASARENGNGE,87,74
SD NEGERI 50 PALIOI,69,65
SD NEGERI 51 PARANGSILIBBO.,82,75
SD NEGERI 52 GARUNTUNGAN.,34,46
SD NEGERI 53 PABBAMBAENG.,105,96
SD NEGERI 54 CAMPAGA,69,60
SD NEGERI 55 CIBOLLO,62,62
SD NEGERI 56 BALANGDIDI,59,59
SD NEGERI 57 ORO,57,64
SD NEGERI 58 TANETE,101,97
SD NEGERI 59 TANETE,72,79
SD NEGERI 60 TANETE,97,92
SD NEGERI 61 BALLEANGING,65,44
SD NEGERI 62 WAEPEJJE,69,54
SD NEGERI 63 CILALLANG,112,78
SD NEGERI 64 BALANGBESSI,43,46
SD NEGERI 65 BALANGRIRI,79,87
SD NEGERI 66 BALANGRIRI,50,54
SD NEGERI 67 LOISA,41,48
