Jenjang,Sekolah,Kecematan,Laki-laki,Perempuan
SD,SD NEGERI 199 TANAH KONGKONG,Kec. Ujung Bulu,1,13
SD,SD NEGERI 201 GARANTA,Kec. Ujung Loe,3,6
SD,SD NEGERI 25 LONRONG,Kec. Ujung Loe,3,5
SD,SD NEGERI 58 TANETE,Kec. Bulukumpa,1,11
SD,SD NEGERI 282 TUBOGA,Kec. Kajang,5,4
SD,SD NEGERI 173 MATEKKO,Kec. Gantarang,4,14
SD,SD NEGERI 325 JATIA,Kec. Ujung Loe,3,6
SD,SD NEGERI 63 CILALLANG,Kec. Bulukumpa,2,7
SD,SD NEGERI 216 LEMBANNA,Kec. Kajang,2,7
SD,SD NEGERI 4 BENTENGE,Kec. Ujung Bulu,3,10
SD,SD NEGERI 52 GARUNTUNGAN.,Kec. Kindang,2,11
SD,SD NEGERI 250 KOLI,Kec. Kajang,2,6
SD,SDN 1 TERANG,Kec. Ujung Bulu,3,6
SD,SD NEGERI 246 BONTOMANAI,Kec. Rilau Ale,3,9
SD,SD NEGERI 253 TANUNTUNG,Kec. Herlang,3,7
SD,SD NEGERI 321 ARA,Kec. Bontobahari,1,7
SD,SD NEGERI 42 GATTARENG,Kec. Gantarang,3,10
SD,SD NEGERI . 280 BONTOMINASA,Kec. Bulukumpa,1,8
SD,SD NEGERI 18 PALANGISANG,Kec. Ujung Loe,3,5
SD,SDN 277 PANGI,Kec. Rilau Ale,1,8
SD,SD NEGERI 135 ERELEBU,Kec. Bontotiro,2,7
SD,SD NEGERI 73 KASESENG,Kec. Bulukumpa,2,8
SD,SD NEGERI 109 KAJANG KEKE,Kec. Kajang,5,5
SD,SD NEGERI 127 BONTOA,Kec. Herlang,2,6
SD,SD NEGERI 266 TOROLIYA,Kec. Gantarang,5,7
SD,SD NEGERI 215 DASSA,Kec. Kajang,4,5
SD,SD NEGERI 211 PALAMPANG,Kec. Rilau Ale,1,10
SD,SDN NEGERI 328 GATTARENG,Kec. Gantarang,9,3
SD,SD NEGERI 284 TANAH JAYA,Kec. Kajang,1,7
SD,SD NEGERI 123 PATARO,Kec. Herlang,1,6
SD,SD NEGERI 51 PARANGSILIBBO.,Kec. Kindang,6,4
SD,SD NEGERI 97 SAMPEANG,Kec. Rilau Ale,3,6
SD,SD NEGERI 24 SALEMBA,Kec. Ujung Bulu,4,23
SD,SD NEGERI 245 BATUTOMPO,Kec. Rilau Ale,4,6
SD,SD NEGERI 137 CARAMMING,Kec. Bontotiro,2,7
SD,SD NEGERI 141 SALU,Kec. Bontotiro,1,8
SD,SD NEGERI 50 PALIOI,Kec. Kindang,3,6
SD,SD NEGERI 176 TAMBANGAN,Kec. Kajang,1,8
SD,SD NEGERI 352 NANA,Kec. Kindang,6,3
SD,SD NEGERI 148 BONTOBULAENG,Kec. Bontotiro,4,5
SD,SD NEGERI 288 LIANG,Kec. Herlang,2,8
SD,SD NEGERI 294 PADANGLOANG,Kec. Ujung Loe,1,8
SD,SD NEGERI 262 TANAH LEMO,Kec. Bontobahari,3,7
