Jenjang	Sekolah	Kecematan	1	2	3	4	5	6	7	8	9	10	11	12	13	
SD	SD NEGERI 100 CENTRE KAJANG	Kec. Kajang	47	41	45	38	38	47	-	-	-	-	-	-	-	
SD	SD NEGERI 181 TANAHKONGKONG	Kec. Ujung Bulu	26	56	31	40	38	38	-	-	-	-	-	-	-	
SD	SD NEGERI 118 LEMBANG TUMBU	Kec. Herlang	20	22	16	16	11	15	-	-	-	-	-	-	-	
SD	SD NEGERI 103 KALIMPORO	Kec. Kajang	28	31	22	38	33	24	-	-	-	-	-	-	-	
SD	SD NEGERI 260 EREKEKE	Kec. Bontotiro	11	3	4	11	10	4	-	-	-	-	-	-	-	
SD	SD NEGERI 276 CAMPULEA	Kec. Rilau Ale	19	19	23	24	26	20	-	-	-	-	-	-	-	
SD	SD NEGERI 228 GATTARENG	Kec. Gantarang	18	14	9	15	22	27	-	-	-	-	-	-	-	
SD	SD NEGERI 143 PARA	Kec. Bontotiro	18	12	24	22	18	14	-	-	-	-	-	-	-	
SD	SD NEGERI 315 KAROSI	Kec. Herlang	22	21	30	20	13	20	-	-	-	-	-	-	-	
SD	SD NEGERI 329 PALAMBARAE	Kec. Gantarang	37	43	33	46	41	31	-	-	-	-	-	-	-	
SD	SD NEGERI 53 PABBAMBAENG.	Kec. Kindang	21	23	45	28	41	43	-	-	-	-	-	-	-	
SD	SD NEGERI 300 BONTO TANAE	Kec. Gantarang	35	23	22	22	14	17	-	-	-	-	-	-	-	
SD	SD NEGERI 95 BONTOBULAENG	Kec. Bulukumpa	13	11	12	12	10	15	-	-	-	-	-	-	-	
SD	SD NEGERI 20 MANYAMPA	Kec. Ujung Loe	14	13	21	23	21	17	-	-	-	-	-	-	-	
SD	SD NEGERI 179 TANAH BERU	Kec. Bontobahari	48	46	49	49	38	50	-	-	-	-	-	-	-	
SD	SD NEGERI 104 JANNAYA	Kec. Kajang	32	16	21	24	16	18	-	-	-	-	-	-	-	
SD	SD NEGERI 219 ARA	Kec. Bontobahari	13	8	12	4	10	11	-	-	-	-	-	-	-	
SD	SD NEGERI 13 SALEMBA	Kec. Ujung Loe	19	21	30	32	41	32	-	-	-	-	-	-	-	
SD	SD NEGERI 306 MARANA	Kec. Rilau Ale	3	10	6	9	7	6	-	-	-	-	-	-	-	
SD	SD NEGERI 236 KINDANG	Kec. Kindang	17	18	14	10	16	10	-	-	-	-	-	-	-	
SD	SD NEGERI 134 KALUMPANG	Kec. Bontotiro	9	10	9	9	12	13	-	-	-	-	-	-	-	
SD	SD NEGERI 283 GANTING	Kec. Kajang	24	22	29	32	28	20	-	-	-	-	-	-	-	
SD	SD NEGERI 128 TURUNGAN BERU	Kec. Herlang	41	39	34	32	37	31	-	-	-	-	-	-	-	
SD	SD NEGERI 295 BALONG	Kec. Ujung Loe	23	26	27	27	18	15	-	-	-	-	-	-	-	
SD	SD NEGERI 138 BASOKENG	Kec. Bontotiro	9	12	13	13	11	11	-	-	-	-	-	-	-	
SD	SD NEGERI 264 BIRA	Kec. Bontobahari	16	12	9	9	15	14	-	-	-	-	-	-	-	
SD	SD NEGERI 351 KAWASAN	Kec. Kajang	24	24	33	30	32	15	-	-	-	-	-	-	-	
SD	SD NEGERI 74 TAMARELLANG	Kec. Bulukumpa	26	24	29	23	28	21	-	-	-	-	-	-	-	
SD	SD NEGERI 310 NANASAYA	Kec. Kajang	4	7	6	7	5	3	-	-	-	-	-	-	-	
SD	SD NEGERI 327 MATEKKO	Kec. Gantarang	29	23	31	24	21	21	-	-	-	-	-	-	-	
SD	SD NEGERI 67 LOISA	Kec. Bulukumpa	16	15	19	16	12	11	-	-	-	-	-	-	-	
SD	SD NEGERI 30 GATTARANG	Kec. Gantarang	12	20	21	17	21	25	-	-	-	-	-	-	-	
SD	SD NEGERI 185 BIALO	Kec. Gantarang	21	16	21	25	22	16	-	-	-	-	-	-	-	
SD	SD NEGERI 180 BENTENGE	Kec. Ujung Bulu	23	23	27	27	28	21	-	-	-	-	-	-	-	
SD	SD NEGERI 147 MATTOANGING 2	Kec. Bontotiro	8	5	8	9	11	9	-	-	-	-	-	-	-	
SD	SD NEGERI 178 TULEKKO	Kec. Bontotiro	27	23	20	21	22	18	-	-	-	-	-	-	-	
SD	SD NEGERI 60 TANETE	Kec. Bulukumpa	39	28	31	29	33	29	-	-	-	-	-	-	-	
SD	SD NEGERI 342 PAOREMBAYA	Kec. Herlang	30	24	44	29	22	30	-	-	-	-	-	-	-	
SD	SD NEGERI 324 TAKKUE	Kec. Ujung Loe	32	19	29	25	30	19	-	-	-	-	-	-	-	
SD	SD NEGERI 301 KALUKU	Kec. Kindang	36	24	20	24	24	20	-	-	-	-	-	-	-	
SD	SD NEGERI 122 BATUPANYU	Kec. Herlang	7	12	9	10	10	13	-	-	-	-	-	-	-	
SD	SD NEGERI 251 GANTA	Kec. Kajang	30	24	17	24	17	18	-	-	-	-	-	-	-	
SD	SD NEGERI 257 BADDOA	Kec. Herlang	22	27	19	19	23	18	-	-	-	-	-	-	-	
SD	SD NEGERI 81 PALAMPANG	Kec. Rilau Ale	34	16	25	20	32	23	-	-	-	-	-	-	-	
SD	SD NEGERI 186 MATTIROWALIE	Kec. Kindang	25	28	26	30	34	29	-	-	-	-	-	-	-	
SD	SD NEGERI 200 DANNUANG	Kec. Ujung Loe	35	25	29	26	17	23	-	-	-	-	-	-	-	
SD	SD NEGERI 199 TANAH KONGKONG	Kec. Ujung Bulu	23	28	22	32	22	25	-	-	-	-	-	-	-	
SD	SD NEGERI 201 GARANTA	Kec. Ujung Loe	13	13	17	18	16	16	-	-	-	-	-	-	-	
SD	SD NEGERI 25 LONRONG	Kec. Ujung Loe	5	6	10	5	18	9	-	-	-	-	-	-	-	
SD	SD NEGERI 58 TANETE	Kec. Bulukumpa	27	21	29	46	30	45	-	-	-	-	-	-	-	
SD	SD NEGERI 282 TUBOGA	Kec. Kajang	19	21	19	18	21	18	-	-	-	-	-	-	-	
SD	SD NEGERI 173 MATEKKO	Kec. Gantarang	52	53	37	46	48	30	-	-	-	-	-	-	-	
SD	SD NEGERI 325 JATIA	Kec. Ujung Loe	24	20	12	30	21	17	-	-	-	-	-	-	-	
SD	SD NEGERI 63 CILALLANG	Kec. Bulukumpa	23	26	38	33	33	37	-	-	-	-	-	-	-	
