Jenjang,Sekolah,Kecematan,<= 30,31 - 35,36 - 40,41 - 45,46 - 50,51 - 55,> 55
SD,SD NEGERI 216 LEMBANNA,Kec. Kajang,2,1,2,0,1,3,0
SD,SD NEGERI 4 BENTENGE,Kec. Ujung Bulu,0,3,4,2,0,1,3
SD,SD NEGERI 52 GARUNTUNGAN.,Kec. Kindang,2,3,3,2,3,0,0
SD,SD NEGERI 250 KOLI,Kec. Kajang,2,2,1,2,0,1,0
SD,SDN 1 TERANG,Kec. Ujung Bulu,0,0,2,0,1,4,2
SD,SD NEGERI 246 BONTOMANAI,Kec. Rilau Ale,0,4,1,1,2,3,1
SD,SD NEGERI 253 TANUNTUNG,Kec. Herlang,0,3,1,0,2,2,2
SD,SD NEGERI 321 ARA,Kec. Bontobahari,1,3,0,1,1,1,1
SD,SD NEGERI 42 GATTARENG,Kec. Gantarang,2,4,3,1,2,0,1
SD,SD NEGERI . 280 BONTOMINASA,Kec. Bulukumpa,0,2,3,0,2,2,0
SD,SD NEGERI 18 PALANGISANG,Kec. Ujung Loe,0,3,0,2,0,3,0
SD,SDN 277 PANGI,Kec. Rilau Ale,2,0,3,2,1,0,1
SD,SD NEGERI 135 ERELEBU,Kec. Bontotiro,2,3,0,0,0,2,2
SD,SD NEGERI 73 KASESENG,Kec. Bulukumpa,0,1,5,1,0,2,1
SD,SD NEGERI 109 KAJANG KEKE,Kec. Kajang,4,3,2,0,1,0,0
SD,SD NEGERI 127 BONTOA,Kec. Herlang,3,3,0,0,0,1,1
SD,SD NEGERI 266 TOROLIYA,Kec. Gantarang,0,2,1,5,0,3,1
SD,SD NEGERI 215 DASSA,Kec. Kajang,2,3,0,1,1,1,1
SD,SD NEGERI 211 PALAMPANG,Kec. Rilau Ale,0,1,2,3,2,1,2
SD,SDN NEGERI 328 GATTARENG,Kec. Gantarang,1,3,2,1,4,1,0
SD,SD NEGERI 284 TANAH JAYA,Kec. Kajang,2,1,1,1,1,1,1
SD,SD NEGERI 123 PATARO,Kec. Herlang,0,1,0,2,4,0,0
SD,SD NEGERI 51 PARANGSILIBBO.,Kec. Kindang,1,5,3,1,0,0,0
SD,SD NEGERI 97 SAMPEANG,Kec. Rilau Ale,0,3,2,1,2,1,0
SD,SD NEGERI 24 SALEMBA,Kec. Ujung Bulu,1,7,3,2,2,6,6
SD,SD NEGERI 245 BATUTOMPO,Kec. Rilau Ale,3,1,3,1,0,2,0
SD,SD NEGERI 137 CARAMMING,Kec. Bontotiro,1,0,2,4,0,1,1
SD,SD NEGERI 141 SALU,Kec. Bontotiro,2,1,1,1,0,2,2
SD,SD NEGERI 50 PALIOI,Kec. Kindang,3,1,2,1,0,1,1
SD,SD NEGERI 176 TAMBANGAN,Kec. Kajang,3,0,1,0,1,1,3
SD,SD NEGERI 352 NANA,Kec. Kindang,2,4,2,0,1,0,0
