Jenjang,Sekolah,Kecematan,PNS,GTT,GTY,Honor
SMP,SMP NEGERI 47 BULUKUMBA,Kec. Bulukumpa,3,0,0,8
SMP,SMP NEGERI 1 BULUKUMBA,Kec. Ujung Bulu,54,0,0,4
SMP,SMP NEGERI SATAP 8 BULUKUMBA,Kec. Ujung Loe,1,0,0,6
SMP,SMP NEGERI 29 BULUKUMBA,Kec. Bontotiro,18,0,0,4
SMP,SMP NEGERI 31 BULUKUMBA,Kec. Bontotiro,11,0,0,10
SMP,SMP NEGERI 34 BULUKUMBA,Kec. Bontobahari,11,0,0,1
SMP,SMP NEGERI 18 BULUKUMBA ,Kec. Bulukumpa,10,0,0,6
SMP,SMP NEGERI 33 BULUKUMBA,Kec. Bontobahari,16,0,0,4
SMP,SMP NEGERI 6 BULUKUMBA,Kec. Gantarang,9,0,0,8
SMP,SMPN SATAP 18 BULUKUMBA,Kec. Bulukumpa,2,0,0,5
SMP,SMP NEGERI 30 BULUKUMBA,Kec. Bontotiro,23,0,0,4
SMP,SMP NEGERI SATAP 1 BULUKUMBA,Kec. Herlang,3,0,0,9
SMP,SMP NEGERI 22 BULUKUMBA,Kec. Kajang,3,0,0,11
SMP,SMP NEGERI SATAP 10 BULUKUMBA ,Kec. Kindang,1,0,0,1
SMP,SMP NEGERI 38 BULUKUMBA,Kec. Kindang,5,0,0,5
SMP,SMP PGRI BULUKUMBA,Kec. Ujung Bulu,5,0,5,3
SMP,SMP NEGERI 42 BULUKUMBA,Kec. Rilau Ale,3,0,0,14
SD,SDN 7 MATAJANG,Kec. Ujung Bulu,16,0,0,4
SD,SD NEGERI 274 BONTOSUNGGU,Kec. Gantarang,8,0,0,5
SD,SD NEGERI 21 SEPPANG,Kec. Ujung Loe,5,0,0,5
SD,SD NEGERI 90 GANJENGE,Kec. Rilau Ale,7,0,0,7
SD,SD NEGERI 287 DOMENGA,Kec. Herlang,6,0,0,3
SD,SD NEGERI 27 MATEKKO,Kec. Gantarang,8,0,0,4
SD,SD NEGERI 182 DANNUANG,Kec. Ujung Loe,10,0,0,8
SD,SD NEGERI 206 BONTONYELENG,Kec. Gantarang,5,0,0,10
SD,SD NEGERI 187 BONTOMANAI,Kec. Rilau Ale,8,0,0,7
SD,SD NEGERI 226 BALLEANGING,Kec. Ujung Loe,4,0,0,4
SD,SD NEGERI 145 TUJU,Kec. Bontotiro,3,0,0,5
SD,SD NEGERI 247 PATTOENGAN,Kec. Bulukumpa,5,0,0,2
SD,SD NEGERI 297 MATEKKO,Kec. Gantarang,8,0,0,3
SD,SD NEGERI 222 DANNUANG,Kec. Ujung Loe,5,0,0,4
SD,SD NEGERI NO. 98 BONTOMANAI,Kec. Rilau Ale,8,0,0,8
SD,SD NEGERI 311 LURAYA,Kec. Kajang,3,0,0,6
SD,SD NEGERI 94 BALIMBING,Kec. Rilau Ale,4,0,0,3
SD,SD NEGERI 293 TANAHKONGKONG,Kec. Ujung Bulu,9,0,0,0
SD,SD NEGERI 26 MATEKKO,Kec. Gantarang,14,0,0,7
SD,SD NEGERI 281 SUMALAYA,Kec. Kajang,4,0,0,6
SD,SD NEGERI 290 TAHEBATU,Kec. Bontotiro,6,0,0,3
SD,SD NEGERI 227 BONTOMACINNA,Kec. Gantarang,7,0,0,5
SD,SD NEGERI 113 DANGGAREHANG,Kec. Kajang,2,0,0,3
SD,SD NEGERI 158 BENJALA,Kec. Bontobahari,7,0,0,2
SD,SD NEGERI 196 TRITIRO,Kec. Bontotiro,8,0,0,2
SD,SD NEGERI 65 BALANGRIRI,Kec. Bulukumpa,4,0,0,0
SD,SD NEGERI 346 TIMBULA,Kec. Bontotiro,4,0,0,4
SD,SD NEGERI 319 LOKAJAHA,Kec. Bontotiro,6,0,0,2
SD,SD NEGERI 9 TANAH KONGKONG,Kec. Ujung Bulu,9,0,0,3
SD,SD NEGERI 19 MANYAMPA,Kec. Ujung Loe,7,0,0,3
SD,SD NEGERI 244 SALASSAE,Kec. Bulukumpa,7,0,0,5
SD,SD NEGERI 254 BANYORO,Kec. Herlang,5,0,0,6
SD,SD NEGERI 263 TANAH LEMO,Kec. Bontobahari,8,0,0,3
SD,SD NEGERI 157 PASARAYA,Kec. Bontobahari,8,0,0,2
SD,SD NEGERI 130 BONTOBEANG,Kec. Herlang,5,0,0,4
SD,SD NEGERI 320 MARAKKIUNG,Kec. Bontotiro,4,0,0,3
SD,SD NEGERI 191 LEMBANNA,Kec. Kajang,4,0,0,5
SD,SD NEGERI NO 6 KASUARA,Kec. Ujung Bulu,12,0,0,3
SD,SD NEGERI 312 SAPAYA,Kec. Kajang,1,0,0,8
SD,SD NEGERI 131 BONTO BANA,Kec. Herlang,4,0,0,5
SD,SD NEGERI 86 LONGI,Kec. Rilau Ale,3,0,0,5
SD,SD NEGERI 45 DAMPANG,Kec. Gantarang,8,0,0,6
SD,SD NEGERI 120 BAJANG,Kec. Herlang,5,0,0,5
SD,SD NEGERI 233 DAMPANG,Kec. Gantarang,6,0,0,7
SD,SD NEGERI 72 BAMBAUNGANG,Kec. Bulukumpa,4,0,0,5
SD,SD NEGERI 22 ALLU,Kec. Ujung Loe,5,0,1,5
SD,SDN 353 ULUPARANG,Kec. Kindang,4,0,0,5
SD,SD NEGERI 87 BUTTAKEKE,Kec. Rilau Ale,8,0,0,3
SD,SD NEGERI 313 PAPINJENG,Kec. Kajang,4,0,0,5
SD,SD NEGERI 88 BATUKAROPA,Kec. Rilau Ale,7,0,0,3
SD,SD NEGERI 190 TANAH JAYA,Kec. Kajang,5,0,0,4
SD,SD NEGERI 149 TAMALALA,Kec. Bontotiro,4,0,0,5
SD,SD NEGERI 345 SAMAKORE,Kec. Bontotiro,1,0,0,7
SD,SD NEGERI 161 ARA,Kec. Bontobahari,7,0,0,1
SD,SD NEGERI 210 BONTOMINASA,Kec. Bulukumpa,6,0,0,0
SD,SD NEGERI 91 MUNTE,Kec. Bulukumpa,4,0,0,1
SD,SD NEGERI 64 BALANGBESSI,Kec. Bulukumpa,7,0,0,3
SD,SD NEGERI 255 PARANGLOHE,Kec. Herlang,4,0,0,5
SD,SD NEGERI 116 USA,Kec. Kajang,5,0,0,4
SD,SD NEGERI 267 DAULELE,Kec. Kajang,4,0,0,5
SD,SD NEGERI .172 BORONGKALUKUE,Kec. Ujung Bulu,14,0,0,3
SD,SD NEGERI 256 KAJANG,Kec. Herlang,3,0,0,4
SD,SD NEGERI 162 ARA,Kec. Bontobahari,6,0,0,2
SD,SD NEGERI 153 TOMBOLO,Kec. Bontotiro,7,0,0,3
SD,SD NEGERI 100 CENTRE KAJANG,Kec. Kajang,6,0,0,6
SD,SD NEGERI 181 TANAHKONGKONG,Kec. Ujung Bulu,9,0,0,3
SD,SD NEGERI 118 LEMBANG TUMBU,Kec. Herlang,5,0,0,4
SD,SD NEGERI 103 KALIMPORO,Kec. Kajang,7,0,0,1
SD,SD NEGERI 260 EREKEKE,Kec. Bontotiro,5,0,0,3
SD,SD NEGERI 276 CAMPULEA,Kec. Rilau Ale,6,0,0,3
SD,SD NEGERI 228 GATTARENG,Kec. Gantarang,7,0,0,6
SD,SD NEGERI 143 PARA,Kec. Bontotiro,6,0,0,2
SD,SD NEGERI 315 KAROSI,Kec. Herlang,6,0,0,3
SD,SD NEGERI 329 PALAMBARAE,Kec. Gantarang,11,0,0,5
SD,SD NEGERI 53 PABBAMBAENG.,Kec. Kindang,8,0,0,4
SD,SD NEGERI 300 BONTO TANAE,Kec. Gantarang,5,0,0,6
SD,SD NEGERI 95 BONTOBULAENG,Kec. Bulukumpa,5,0,0,0
SD,SD NEGERI 20 MANYAMPA,Kec. Ujung Loe,4,0,0,5
SD,SD NEGERI 179 TANAH BERU,Kec. Bontobahari,8,0,0,4
SD,SD NEGERI 104 JANNAYA,Kec. Kajang,5,0,0,4
SD,SD NEGERI 219 ARA,Kec. Bontobahari,4,0,0,2
SD,SD NEGERI 13 SALEMBA,Kec. Ujung Loe,8,0,0,2
SD,SD NEGERI 306 MARANA,Kec. Rilau Ale,6,0,0,3
SD,SD NEGERI 236 KINDANG,Kec. Kindang,4,0,0,5
SD,SD NEGERI 134 KALUMPANG,Kec. Bontotiro,6,0,0,3
SD,SD NEGERI 283 GANTING,Kec. Kajang,2,0,0,7
SD,SD NEGERI 128 TURUNGAN BERU,Kec. Herlang,6,0,0,3
SD,SD NEGERI 295 BALONG,Kec. Ujung Loe,6,0,0,2
SD,SD NEGERI 138 BASOKENG,Kec. Bontotiro,4,0,0,4
SD,SD NEGERI 264 BIRA,Kec. Bontobahari,3,0,0,5
SD,SD NEGERI 351 KAWASAN,Kec. Kajang,4,0,0,5
SD,SD NEGERI 74 TAMARELLANG,Kec. Bulukumpa,7,0,0,1
SD,SD NEGERI 310 NANASAYA,Kec. Kajang,5,0,0,3
SD,SD NEGERI 327 MATEKKO,Kec. Gantarang,2,0,0,8
SD,SD NEGERI 67 LOISA,Kec. Bulukumpa,5,0,0,3
SD,SD NEGERI 30 GATTARANG,Kec. Gantarang,10,0,0,5
SD,SD NEGERI 185 BIALO,Kec. Gantarang,9,0,0,6
SD,SD NEGERI 180 BENTENGE,Kec. Ujung Bulu,7,0,0,2
SD,SD NEGERI 147 MATTOANGING 2,Kec. Bontotiro,4,0,0,5
SD,SD NEGERI 178 TULEKKO,Kec. Bontotiro,6,0,0,3
SD,SD NEGERI 60 TANETE,Kec. Bulukumpa,5,0,0,2
SD,SD NEGERI 342 PAOREMBAYA,Kec. Herlang,6,0,0,4
SD,SD NEGERI 324 TAKKUE,Kec. Ujung Loe,4,0,0,5
SD,SD NEGERI 301 KALUKU,Kec. Kindang,6,0,0,4
SD,SD NEGERI 122 BATUPANYU,Kec. Herlang,5,0,0,5
SD,SD NEGERI 251 GANTA,Kec. Kajang,2,0,0,6
SD,SD NEGERI 257 BADDOA,Kec. Herlang,4,0,0,5
SD,SD NEGERI 81 PALAMPANG,Kec. Rilau Ale,4,0,0,5
SD,SD NEGERI 186 MATTIROWALIE,Kec. Kindang,5,0,0,0
SD,SD NEGERI 200 DANNUANG,Kec. Ujung Loe,7,0,0,1
SD,SD NEGERI 199 TANAH KONGKONG,Kec. Ujung Bulu,9,0,0,5
SD,SD NEGERI 201 GARANTA,Kec. Ujung Loe,4,0,0,5
SD,SD NEGERI 25 LONRONG,Kec. Ujung Loe,5,0,0,3
SD,SD NEGERI 58 TANETE,Kec. Bulukumpa,8,0,0,0
SD,SD NEGERI 282 TUBOGA,Kec. Kajang,4,0,0,5
SD,SD NEGERI 173 MATEKKO,Kec. Gantarang,10,0,0,8
SD,SD NEGERI 325 JATIA,Kec. Ujung Loe,4,0,0,5
SD,SD NEGERI 63 CILALLANG,Kec. Bulukumpa,3,0,0,2
SD,SD NEGERI 216 LEMBANNA,Kec. Kajang,3,0,0,5
SD,SD NEGERI 4 BENTENGE,Kec. Ujung Bulu,9,0,0,4
SD,SD NEGERI 52 GARUNTUNGAN.,Kec. Kindang,6,0,0,3
SD,SD NEGERI 250 KOLI,Kec. Kajang,3,0,0,5
SD,SDN 1 TERANG,Kec. Ujung Bulu,8,0,0,1
SD,SD NEGERI 246 BONTOMANAI,Kec. Rilau Ale,8,0,0,4
SD,SD NEGERI 253 TANUNTUNG,Kec. Herlang,7,0,0,3
SD,SD NEGERI 321 ARA,Kec. Bontobahari,6,0,0,2
SD,SD NEGERI 42 GATTARENG,Kec. Gantarang,4,0,0,9
SD,SD NEGERI . 280 BONTOMINASA,Kec. Bulukumpa,4,0,0,5
SD,SD NEGERI 18 PALANGISANG,Kec. Ujung Loe,5,0,0,3
SD,SDN 277 PANGI,Kec. Rilau Ale,3,0,0,5
SD,SD NEGERI 135 ERELEBU,Kec. Bontotiro,6,0,0,3
SD,SD NEGERI 73 KASESENG,Kec. Bulukumpa,5,0,0,2
SD,SD NEGERI 109 KAJANG KEKE,Kec. Kajang,3,0,0,7
SD,SD NEGERI 127 BONTOA,Kec. Herlang,3,0,0,5
SD,SD NEGERI 266 TOROLIYA,Kec. Gantarang,6,0,0,6
SD,SD NEGERI 215 DASSA,Kec. Kajang,5,0,0,4
SD,SD NEGERI 211 PALAMPANG,Kec. Rilau Ale,7,0,0,4
SD,SDN NEGERI 328 GATTARENG,Kec. Gantarang,6,0,0,6
SD,SD NEGERI 284 TANAH JAYA,Kec. Kajang,3,0,0,5
SD,SD NEGERI 123 PATARO,Kec. Herlang,5,0,0,2
SD,SD NEGERI 51 PARANGSILIBBO.,Kec. Kindang,3,0,0,7
SD,SD NEGERI 97 SAMPEANG,Kec. Rilau Ale,5,0,0,4
SD,SD NEGERI 24 SALEMBA,Kec. Ujung Bulu,20,0,0,7
SD,SD NEGERI 245 BATUTOMPO,Kec. Rilau Ale,4,0,0,6
SD,SD NEGERI 137 CARAMMING,Kec. Bontotiro,5,0,0,4
SD,SD NEGERI 141 SALU,Kec. Bontotiro,4,0,0,5
SD,SD NEGERI 50 PALIOI,Kec. Kindang,4,0,0,4
SD,SD NEGERI 176 TAMBANGAN,Kec. Kajang,5,0,0,4
